A,TOTAL,PECR,HA,LV	24790 	17660 	8510 	6620 	7540 	7580 	: 
A,TOTAL,PECR,HA,ME	: 	: 	4650 	: 	: 	: 	: 
A,TOTAL,PECR,HA,MK	: 	: 	: 	40380 	: 	: 	: 
A,TOTAL,PECR,HA,MT	1090 	1320 	1250 	1260 	1310 	950 	1040 
A,TOTAL,PECR,HA,NL	32310 	34390 	37020 	36670 	38290 	37310 	36160 
A,TOTAL,PECR,HA,NO	3220 	3150 	3050 	2950 	3020 	3130 	: 
A,TOTAL,PECR,HA,PL	330070 	375240 	389700 	412150 	393460 	379970 	: 
A,TOTAL,PECR,HA,PT	648860 	596250 	690730 	708760 	705120 	860660 	898870 
A,TOTAL,PECR,HA,RO	339200 	343620 	311430 	302470 	301350 	343930 	325380 
A,TOTAL,PECR,HA,RS	: 	: 	187330 	: 	: 	: 	: 
A,TOTAL,PECR,HA,SE	1620 	3970 	2940 	4560 	3960 	4120 	3670 
A,TOTAL,PECR,HA,SI	27450 	25840 	26800 	27280 	26830 	28300 	: 
A,TOTAL,PECR,HA,SK	26330 	24080 	19640 	18920 	18360 	17590 	16560 
A,TOTAL,PECR,HA,UK	34000 	32400 	36200 	35520 	37900 	: 	: 
A,TOTAL,UAA,HA,AT	3266240 	3189110 	2878170 	2726880 	2669750 	2602670 	2571720 
A,TOTAL,UAA,HA,BE	1385580 	1374430 	1358020 	1307900 	1354250 	1368120 	: 
A,TOTAL,UAA,HA,BG	2729390 	3050740 	4475530 	4650940 	4491860 	4564150 	4419350 i
A,TOTAL,UAA,HA,CH	1061670 	1056700 	1047800 	: 	1044390 	1036790 	: 
A,TOTAL,UAA,HA,CY	151500 	146000 	118400 	109330 	111930 	134140 	129850 
A,TOTAL,UAA,HA,CZ	3557790 	3518070 	3483500 	3491470 	3455410 	3492570 	3521210 
A,TOTAL,UAA,HA,DE	17035220 	16931900 	16704040 	16699580 	16715320 	16595020 	16585540 
A,TOTAL,UAA,HA,DK	2707690 	2662590 	2646860 	2619340 	2614600 	2629930 	: 
A,TOTAL,UAA,HA,EE	828930 	906830 	940930 	957510 	995100 	975320 	978360 
A,TOTAL,UAA,HA,EL	3983790 	4076230 	5177510 	4856780 	4553840 	3915080 	3989840 
A,TOTAL,UAA,HA,ES	24855130 	24892520 	23752690 	23300220 	23229750 	23913680 	23458590 i
A,TOTAL,UAA,HA,EU27_2020	: 	157333230 	158963780 	157254870 	156658550 	157414160 	: 
A,TOTAL,UAA,HA,FI	2263560 	2292290 	2290980 	2257630 	2194210 	2281710 	: 
A,TOTAL,UAA,HA,FR	27590940 	27476930 	27837290 	27739430 	27814160 	27364630 	27201240 
A,TOTAL,UAA,HA,HR	: 	978670 	1346350 	1571200 	1562980 	1505430 	1506220 
A,TOTAL,UAA,HA,HU	4266550 	4228580 	4686340 	4656520 	4670550 	4921740 	5087200 
A,TOTAL,UAA,HA,IE	4219380 	4139240 	4991350 	4959450 	4883640 	4920270 	: 
A,TOTAL,UAA,HA,IS	: 	: 	1595670 	: 	: 	17599520 	: 
A,TOTAL,UAA,HA,IT	12707840 	12744200 	12856050 	12098890 	12598160 	12523540 	: 
A,TOTAL,UAA,HA,LT	2792050 	2648950 	2742560 	2861250 	2924600 	2914550 	2847210 i
A,TOTAL,UAA,HA,LU	129130 	130880 	131110 	131040 	130650 	132140 	133010 
A,TOTAL,UAA,HA,LV	1701680 	1773840 	1796290 	1877730 	1930880 	1968960 	: 
A,TOTAL,UAA,HA,ME	: 	: 	221300 	: 	: 	: 	: 
A,TOTAL,UAA,HA,MK	: 	: 	: 	315860 	: 	: 	: 
A,TOTAL,UAA,HA,MT	10250 	10330 	11450 	10880 	11180 	9800 	8880 
A,TOTAL,UAA,HA,NL	1958060 	1914330 	1872350 	1847570 	1796260 	1817900 	1806130 
A,TOTAL,UAA,HA,NO	1035400 	1031990 	1005940 	987120 	983630 	982790 	: 
A,TOTAL,UAA,HA,PL	14754880 	15477190 	14447290 	14409870 	14405650 	14784120 	: 
A,TOTAL,UAA,HA,PT	3679590 	3472940 	3668150 	3641600 	3641690 	3963940 	3861150 
A,TOTAL,UAA,HA,RO	13906700 	13753050 	13306130 	13055850 	12502540 	12762830 	12550330 
A,TOTAL,UAA,HA,RS	: 	: 	3437420 	: 	: 	: 	: 
A,TOTAL,UAA,HA,SE	3192450 	3118000 	3066320 	3028620 	3021350 	3005810 	2976990 
A,TOTAL,UAA,HA,SI	485430 	488770 	482650 	485760 	488400 	483440 	: 
A,TOTAL,UAA,HA,SK	1879490 	1936620 	1895500 	1901610 	1889820 	1862650 	1808140 
A,TOTAL,UAA,HA,UK	15956960 	16043160 	16881690 	17096120 	16393750 	: 	: 
A,TOTAL,UAAXK0000_ORG,HA,AT	370300 	403170 	447180 	467600 	570810 	682330 	691940 
A,TOTAL,UAAXK0000_ORG,HA,BE	22040 	22300 	36270 	49390 	65290 	89040 	: 
A,TOTAL,UAAXK0000_ORG,HA,BG	2610 u	5260 	6230 	44490 	120170 	117800 	81420 i
A,TOTAL,UAAXK0000_ORG,HA,CH	116630 	116080 	91550 	: 	141250 	184490 	: 
A,TOTAL,UAAXK0000_ORG,HA,CY	420 	990 	2000 	1460 	3520 	5460 	7110 
A,TOTAL,UAAXK0000_ORG,HA,CZ	224820 	265320 	398590 	443120 	448190 	528310 	537230 
A,TOTAL,UAAXK0000_ORG,HA,DE	749790 	804590 	941480 	1008970 	1147150 	1591870 	1852660 
A,TOTAL,UAAXK0000_ORG,HA,DK	148670 	144660 	166270 	175010 	187270 	306440 	: 
A,TOTAL,UAAXK0000_ORG,HA,EE	58470 	78570 	121570 	153420 	181020 	220750 	224350 
A,TOTAL,UAAXK0000_ORG,HA,EL	79650 	222100 	130830 	116390 	123350 	156060 	374410 
A,TOTAL,UAAXK0000_ORG,HA,ES	383510 	412220 	525910 	705720 	857980 	1871600 	2229590 i
A,TOTAL,UAAXK0000_ORG,HA,EU27_2020	: 	4865030 	5974230 	7217200 	9235210 	13078780 	: 
A,TOTAL,UAAXK0000_ORG,HA,FI	126710 	136410 	162820 	198630 	227710 	314340 	: 
A,TOTAL,UAAXK0000_ORG,HA,FR	501360 	489290 	740360 	982310 	1375330 	2340680 	2599660 
A,TOTAL,UAAXK0000_ORG,HA,HR	: 	3100 	19860 	33760 	93290 	110290 	121790 
A,TOTAL,UAAXK0000_ORG,HA,HU	77880 	80900 	50780 	120350 	179130 	268850 	308680 
A,TOTAL,UAAXK0000_ORG,HA,IE	22700 	28270 	31630 	15940 	52080 	73800 	: 
A,TOTAL,UAAXK0000_ORG,HA,IS	: 	: 	6390 	: 	: 	0 	: 
A,TOTAL,UAAXK0000_ORG,HA,IT	666150 	733700 	781490 	956140 	1555520 	1950620 	: 
A,TOTAL,UAAXK0000_ORG,HA,LT	47570 	94180 	143620 	166250 	215500 	233590 	227230 i
A,TOTAL,UAAXK0000_ORG,HA,LU	3110 	3560 	3510 	4450 	4540 	6120 	8740 
A,TOTAL,UAAXK0000_ORG,HA,LV	58520 	132390 	142550 	183030 	256420 	285500 	: 
A,TOTAL,UAAXK0000_ORG,HA,ME	: 	: 	90 	: 	: 	: 	: 
A,TOTAL,UAAXK0000_ORG,HA,MT	0 	0 	30 	10 u	: @C	50 	20 
A,TOTAL,UAAXK0000_ORG,HA,NL	42030 	40630 	40690 	44780 	52400 	70060 	87890 
A,TOTAL,UAAXK0000_ORG,HA,NO	41300 	46020 	51890 	47890 	40670 	42940 	: 
A,TOTAL,UAAXK0000_ORG,HA,PL	78040 	181710 	371590 	513780 	442560 	501160 	: 
A,TOTAL,UAAXK0000_ORG,HA,PT	82010 	107380 	40950 	67480 	175350 	209030 	675240 
A,TOTAL,UAAXK0000_ORG,HA,RO	15640 	32340 	49980 	100600 	103170 	292410 	613080 
A,TOTAL,UAAXK0000_ORG,HA,RS	: 	: 	4940 	: 	: 	: 	: 
A,TOTAL,UAAXK0000_ORG,HA,SE	215280 	291400 	406120 	458740 	563290 	610330 	556700 
A,TOTAL,UAAXK0000_ORG,HA,SI	25170 	28820 	30670 	43480 	46320 	49440 	: 
A,TOTAL,UAAXK0000_ORG,HA,SK	91660 	121770 	181250 	161910 	187840 	192840 	258200 
A,TOTAL,UAAXK0000_ORG,HA,UK	412130 	543390 	400350 	199620 	294490 	: 	: 
