A,TOTAL,T,Y35-39,HLD,NO	: 	: 	3080 	3160 	: 
A,TOTAL,T,Y35-39,HLD,PL	: 	: 	142100 	130070 	: 
A,TOTAL,T,Y35-39,HLD,PT	: 	: 	5970 	9460 	7000 
A,TOTAL,T,Y35-39,HLD,RO	: 	: 	149320 	125920 	112260 
A,TOTAL,T,Y35-39,HLD,SE	: 	: 	3020 	3120 	3240 
A,TOTAL,T,Y35-39,HLD,SI	: 	: 	3160 	2840 	: 
A,TOTAL,T,Y35-39,HLD,SK	: 	: 	2030 	1670 	1350 
A,TOTAL,T,Y35-39,HLD,UK	: 	: 	1640 	: 	: 
A,TOTAL,T,Y35-44,HLD,AT	41060 	34310 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,BE	8000 	5730 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,BG	44480 	33680 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,CH	14260 	: 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,CY	3660 	2430 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,CZ	4730 	3880 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,DE	73420 	56050 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,DK	7560 	5620 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,EE	3450 	3230 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,EL	112710 	104330 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,ES	152440 	122920 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,EU27_2020	2004870 	1633260 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,FI	12910 	11990 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,FR	109440 	90330 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,HR	28020 	17700 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,HU	83010 	72240 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,IE	25150 	23290 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,IS	420 	: 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,IT	203480 	109590 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,LT	32150 	23800 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,LU	430 	360 	: 	: 	: 
A,TOTAL,T,Y35-44,HLD,LV	14260 	11890 	: 	: 	: 
