A,PRACT,TOTAL,HLD,IS	: 	1030 	: 	: 	: 	: 
A,PRACT,TOTAL,HLD,IT	1534520 	80510 	31270 	27450 	665290 	: 
A,PRACT,TOTAL,HLD,LT	174780 	139920 	112300 	92230 	75020 	70530 i
A,PRACT,TOTAL,HLD,LU	1080 	870 	790 	700 	700 	750 
A,PRACT,TOTAL,HLD,LV	84850 	51270 	47800 	37220 	34170 	: 
A,PRACT,TOTAL,HLD,ME	: 	46220 	: 	: 	: 	: 
A,PRACT,TOTAL,HLD,MK	: 	: 	164660 	: 	: 	: 
A,PRACT,TOTAL,HLD,MT	11020 	11300 	8160 	6420 	6070 	6100 
A,PRACT,TOTAL,HLD,NL	23360 	20840 	18980 	12060 	9530 	10060 
A,PRACT,TOTAL,HLD,NO	27430 	26960 	30750 	22340 	: 	: 
A,PRACT,TOTAL,HLD,PL	1522990 	814450 	746140 	779320 	773590 	: 
A,PRACT,TOTAL,HLD,PT	285660 	268560 	218720 	132960 	148270 	117710 
A,PRACT,TOTAL,HLD,RO	3942630 	3761970 	3498870 	3308810 	2728240 	2702220 
A,PRACT,TOTAL,HLD,RS	: 	602170 	: 	: 	: 	: 
A,PRACT,TOTAL,HLD,SE	50370 	48470 	46500 	42670 	38360 	36990 
A,PRACT,TOTAL,HLD,SI	55580 	48040 	36220 	35030 	35140 	: 
A,PRACT,TOTAL,HLD,SK	58490 	18640 	17840 	19750 	14900 	12850 
A,PRACT,TOTAL,HLD,UK	220170 	140500 	124680 	125740 	: 	: 
A,TOTAL,TOTAL,HLD,AT	170640 	150170 	140430 	132500 	110780 	101040 
A,TOTAL,TOTAL,HLD,BE	51540 	42850 	37760 	36890 	36000 	: 
A,TOTAL,TOTAL,HLD,BG	534610 	370490 	254410 	201280 	132740 	107630 i
A,TOTAL,TOTAL,HLD,CH	63630 	59070 	: 	52260 	49360 	: 
A,TOTAL,TOTAL,HLD,CY	45170 	38860 	35380 	34950 	34050 	32020 
A,TOTAL,TOTAL,HLD,CZ	42250 	22860 	26250 	26530 	28910 	33170 
A,TOTAL,TOTAL,HLD,DE	389880 	299130 	285030 	276120 	262780 	255010 
A,TOTAL,TOTAL,HLD,DK	51680 	41360 	38280 	35050 	37090 	: 
A,TOTAL,TOTAL,HLD,EE	27750 	19610 	19190 	16700 	11370 	10710 
A,TOTAL,TOTAL,HLD,EL	833590 	723060 	709500 	684950 	530730 	486000 
A,TOTAL,TOTAL,HLD,ES	1079420 	989800 	965000 	945020 	914870 	802480 i
A,TOTAL,TOTAL,HLD,EU27_2020	: 	12055360 	10650640 	10281350 	9070950 	: 
A,TOTAL,TOTAL,HLD,FI	70620 	63870 	54400 	49710 	45630 	: 
A,TOTAL,TOTAL,HLD,FR	567140 	516100 	472210 	456520 	393030 	360410 
A,TOTAL,TOTAL,HLD,HR	: 	233280 	157430 	134460 	143930 	146840 
A,TOTAL,TOTAL,HLD,HU	714790 	571660 	486760 	430000 	232060 	189180 
A,TOTAL,TOTAL,HLD,IE	132670 	139890 	139600 	137560 	130220 	: 
A,TOTAL,TOTAL,HLD,IS	: 	2590 	: 	: 	2090 	: 
A,TOTAL,TOTAL,HLD,IT	1728530 	1620880 	1010330 	1145710 	1133020 	: 
A,TOTAL,TOTAL,HLD,LT	252950 	199910 	171800 	150320 	132080 	119620 i
A,TOTAL,TOTAL,HLD,LU	2450 	2200 	2080 	1970 	1880 	1830 
A,TOTAL,TOTAL,HLD,LV	128670 	83390 	81800 	69930 	68980 	: 
A,TOTAL,TOTAL,HLD,ME	: 	48870 	: 	: 	: 	: 
A,TOTAL,TOTAL,HLD,MK	: 	: 	168760 	: 	: 	: 
A,TOTAL,TOTAL,HLD,MT	11070 	12530 	9360 	9310 	7650 	7980 
A,TOTAL,TOTAL,HLD,NL	81830 	72320 	67480 	55680 	52640 	50560 
A,TOTAL,TOTAL,HLD,NO	52950 	46630 	43270 	41120 	38710 	: 
A,TOTAL,TOTAL,HLD,PL	2476470 	1506620 	1429010 	1410700 	1302330 	: 
A,TOTAL,TOTAL,HLD,PT	323920 	305270 	264420 	258980 	290230 	261500 
A,TOTAL,TOTAL,HLD,RO	4256150 	3859040 	3629660 	3422030 	2887070 	2859360 
A,TOTAL,TOTAL,HLD,RS	: 	631550 	: 	: 	: 	: 
A,TOTAL,TOTAL,HLD,SE	75810 	71090 	67150 	62940 	58790 	56170 
A,TOTAL,TOTAL,HLD,SI	77170 	74650 	72380 	69900 	72470 	: 
A,TOTAL,TOTAL,HLD,SK	68490 	24460 	23570 	25660 	19630 	17520 
A,TOTAL,TOTAL,HLD,UK	286750 	186420 	183040 	183920 	: 	: 
