A,TOTAL,TOTAL,A3100,HLD,RO	1753420 	1697580 	1655580 	1283280 	1283580 	775570 	896110 
A,TOTAL,TOTAL,A3100,HLD,RS	: 	: 	355050 	: 	: 	: 	: 
A,TOTAL,TOTAL,A3100,HLD,SE	2790 	2290 	1700 	1280 	1250 	1150 	1160 
A,TOTAL,TOTAL,A3100,HLD,SI	33950 	31690 	26440 	23700 	22650 	12310 	: 
A,TOTAL,TOTAL,A3100,HLD,SK	41670 	39620 	10780 	8990 	6170 	3030 	2260 
A,TOTAL,TOTAL,A3100,HLD,UK	11470 	9770 	9990 	10190 	9950 	: 	: 
A,TOTAL,TOTAL,A4100,HLD,AT	14740 	15020 	14500 	13780 	13760 	12540 	11850 
A,TOTAL,TOTAL,A4100,HLD,BE	4050 	3890 	3300 	3150 	2500 	2800 	: 
A,TOTAL,TOTAL,A4100,HLD,BG	176180 	137750 	91790 	57200 	39090 	22350 	16080 i
A,TOTAL,TOTAL,A4100,HLD,CH	11230 	10810 	9780 	: 	8360 	7920 	: 
A,TOTAL,TOTAL,A4100,HLD,CY	1610 	1450 	1390 	1390 	1380 	1510 	1340 
A,TOTAL,TOTAL,A4100,HLD,CZ	5540 	5540 	4190 	4900 	5730 	4150 	4040 
A,TOTAL,TOTAL,A4100,HLD,DE	30320 	28080 	22270 	19980 	19560 	19870 	20190 
A,TOTAL,TOTAL,A4100,HLD,DK	3170 	2780 	2570 	2510 	2090 	1840 	: 
A,TOTAL,TOTAL,A4100,HLD,EE	3190 	2470 	1950 	1780 	1600 	1180 	1000 
A,TOTAL,TOTAL,A4100,HLD,EL	127940 	132080 	91930 	94450 	86030 	56760 	52290 
A,TOTAL,TOTAL,A4100,HLD,ES	85250 	79140 	68980 	64040 	63730 	60880 	53820 i
A,TOTAL,TOTAL,A4100,HLD,EU27_2020	: 	1130520 	876290 	781790 	715460 	574840 	: 
A,TOTAL,TOTAL,A4100,HLD,FI	1720 	1890 	1350 	1440 	1470 	1260 	: 
A,TOTAL,TOTAL,A4100,HLD,FR	72890 	66060 	56480 	48110 	44490 	34010 	32010 
A,TOTAL,TOTAL,A4100,HLD,HR	: 	23120 	30030 	24320 	16780 	16380 	16310 
A,TOTAL,TOTAL,A4100,HLD,HU	21870 	21780 	26780 	24520 	24460 	15020 	12070 
A,TOTAL,TOTAL,A4100,HLD,IE	42380 	39030 	32110 	36550 	36800 	34890 	: 
A,TOTAL,TOTAL,A4100,HLD,IS	: 	: 	1990 	: 	: 	1760 	: 
A,TOTAL,TOTAL,A4100,HLD,IT	74880 	75380 	51100 	54640 	50650 	56460 	: 
A,TOTAL,TOTAL,A4100,HLD,LT	4040 	4130 	4320 	6960 	9500 	8030 	6950 i
A,TOTAL,TOTAL,A4100,HLD,LU	270 	220 	220 	220 	240 	240 	250 
A,TOTAL,TOTAL,A4100,HLD,LV	4580 	4400 	3800 	3980 	3730 	3010 	: 
A,TOTAL,TOTAL,A4100,HLD,ME	: 	: 	6090 	: 	: 	: 	: 
A,TOTAL,TOTAL,A4100,HLD,MK	: 	: 	: 	7410 	: 	: 	: 
A,TOTAL,TOTAL,A4100,HLD,MT	1060 	1030 	1080 	1010 	1420 	950 	760 
A,TOTAL,TOTAL,A4100,HLD,NL	14370 	13810 	12870 	12340 	8530 	8280 	8190 
A,TOTAL,TOTAL,A4100,HLD,NO	17540 	16080 	14900 	14500 	14710 	13880 	: 
A,TOTAL,TOTAL,A4100,HLD,PL	16100 	16460 	11230 	9720 	9540 	9480 	: 
A,TOTAL,TOTAL,A4100,HLD,PT	55960 	46550 	51790 	44070 	45780 	42670 	41020 
A,TOTAL,TOTAL,A4100,HLD,RO	486530 	390560 	272280 	232390 	208360 	144870 	141680 
A,TOTAL,TOTAL,A4100,HLD,RS	: 	: 	154970 	: 	: 	: 	: 
A,TOTAL,TOTAL,A4100,HLD,SE	7650 	8020 	8660 	8870 	8720 	7960 	8330 
A,TOTAL,TOTAL,A4100,HLD,SI	5750 	5920 	6180 	6240 	6150 	5050 	: 
A,TOTAL,TOTAL,A4100,HLD,SK	2650 	3950 	3150 	3240 	3380 	2420 	1790 
A,TOTAL,TOTAL,A4100,HLD,UK	82960 	76660 	70120 	72060 	74000 	: 	: 
A,TOTAL,TOTAL,A4200,HLD,AT	9340 	9730 	9680 	9410 	8410 	8010 	8080 
A,TOTAL,TOTAL,A4200,HLD,BE	1020 	990 	950 	980 	730 	870 	: 
A,TOTAL,TOTAL,A4200,HLD,BG	163100 	113770 	84580 	45420 	26740 	11950 	8050 i
A,TOTAL,TOTAL,A4200,HLD,CH	6590 	6640 	6980 	: 	6350 	6510 	: 
A,TOTAL,TOTAL,A4200,HLD,CY	2720 	2540 	1990 	1800 	1610 	1590 	1460 
A,TOTAL,TOTAL,A4200,HLD,CZ	2910 	2350 	1410 	1580 	1780 	1560 	1530 
A,TOTAL,TOTAL,A4200,HLD,DE	: 	: 	11220 	10760 	9330 	10460 	10360 
A,TOTAL,TOTAL,A4200,HLD,DK	570 	720 	720 	690 	620 	510 	: 
A,TOTAL,TOTAL,A4200,HLD,EE	1160 	820 	590 	530 	410 	230 	200 
A,TOTAL,TOTAL,A4200,HLD,EL	117170 	111510 	71590 	68270 	64050 	36980 	31020 
A,TOTAL,TOTAL,A4200,HLD,ES	38650 	35980 	29860 	27790 	28420 	29110 	24440 i
A,TOTAL,TOTAL,A4200,HLD,EU27_2020	: 	670530 	535920 	446720 	378420 	291990 	: 
A,TOTAL,TOTAL,A4200,HLD,FI	410 	460 	170 	170 	160 	130 	: 
A,TOTAL,TOTAL,A4200,HLD,FR	21990 	19590 	17510 	14260 	11350 	11920 	11130 
A,TOTAL,TOTAL,A4200,HLD,HR	: 	12600 	12250 	7200 	4470 	3780 	3320 
A,TOTAL,TOTAL,A4200,HLD,HU	20650 	15440 	19820 	19250 	16750 	5210 	3050 
A,TOTAL,TOTAL,A4200,HLD,IE	1700 	1290 	1200 	1160 	1050 	980 	: 
A,TOTAL,TOTAL,A4200,HLD,IS	: 	: 	60 	: 	: 	120 	: 
A,TOTAL,TOTAL,A4200,HLD,IT	30960 	33420 	22760 	23470 	21710 	30720 	: 
A,TOTAL,TOTAL,A4200,HLD,LT	21130 	12150 	6110 	5640 	2830 	2520 	2210 i
A,TOTAL,TOTAL,A4200,HLD,LU	130 	100 	100 	110 	120 	130 	140 
A,TOTAL,TOTAL,A4200,HLD,LV	5000 	4490 	2050 	2480 	2100 	2110 	: 
A,TOTAL,TOTAL,A4200,HLD,ME	: 	: 	3580 	: 	: 	: 	: 
A,TOTAL,TOTAL,A4200,HLD,MK	: 	: 	: 	19550 	: 	: 	: 
A,TOTAL,TOTAL,A4200,HLD,MT	530 	530 	600 	500 	530 	500 	480 
A,TOTAL,TOTAL,A4200,HLD,NL	4560 	4170 	3720 	3460 	2660 	3050 	3320 
A,TOTAL,TOTAL,A4200,HLD,NO	1270 	1320 	1360 	1280 	1270 	1380 	: 
A,TOTAL,TOTAL,A4200,HLD,PL	50690 	51110 	22710 	19420 	9970 	7240 	: 
A,TOTAL,TOTAL,A4200,HLD,PT	37420 	30120 	32510 	28440 	26640 	22880 	20580 
A,TOTAL,TOTAL,A4200,HLD,RO	185380 	198730 	176270 	148670 	129920 	95090 	76300 
A,TOTAL,TOTAL,A4200,HLD,RS	: 	: 	62930 	: 	: 	: 	: 
A,TOTAL,TOTAL,A4200,HLD,SE	: 	: 	0 	: 	: 	0 	0 
A,TOTAL,TOTAL,A4200,HLD,SI	4110 	4130 	4210 	4020 	4600 	3390 	: 
A,TOTAL,TOTAL,A4200,HLD,SK	3360 	3790 	1350 	1240 	1470 	1070 	840 
A,TOTAL,TOTAL,A4200,HLD,UK	10860 	5520 	4280 	4210 	4520 	: 	: 
A,TOTAL,TOTAL,A5000,HLD,AT	65500 	59640 	55110 	54920 	52700 	47030 	45230 
A,TOTAL,TOTAL,A5000,HLD,BE	5430 	4770 	3640 	3300 	2090 	1940 	: 
A,TOTAL,TOTAL,A5000,HLD,BG	380720 	317440 	185460 	109580 	68320 	24890 	20250 i
A,TOTAL,TOTAL,A5000,HLD,CH	17520 	15950 	13970 	: 	12800 	13850 	: 
A,TOTAL,TOTAL,A5000,HLD,CY	9450 	9090 	7790 	8680 	8280 	6450 	5150 
A,TOTAL,TOTAL,A5000,HLD,CZ	19590 	15540 	5430 	8280 	7440 	4950 	4050 
A,TOTAL,TOTAL,A5000,HLD,DE	83400 	77700 	60450 	58690 	47560 	49660 	42690 
A,TOTAL,TOTAL,A5000,HLD,DK	3600 	3210 	3570 	3630 	2840 	2000 	: 
A,TOTAL,TOTAL,A5000,HLD,EE	12510 	8320 	4970 	3790 	2170 	1400 	1260 
A,TOTAL,TOTAL,A5000,HLD,EL	349880 	305700 	215370 	189250 	176840 	72550 	72450 
A,TOTAL,TOTAL,A5000,HLD,ES	196870 	189180 	96960 	78650 	68790 	18540 	17880 i
A,TOTAL,TOTAL,A5000,HLD,EU27_2020	: 	6636430 	4944080 	4448970 	3973710 	2659260 	: 
A,TOTAL,TOTAL,A5000,HLD,FI	1920 	1580 	1270 	1210 	610 	1200 	: 
A,TOTAL,TOTAL,A5000,HLD,FR	163280 	134580 	99110 	70230 	43900 	32140 	21400 
A,TOTAL,TOTAL,A5000,HLD,HR	: 	148560 	171300 	104990 	66140 	58520 	57780 
A,TOTAL,TOTAL,A5000,HLD,HU	394070 	334850 	312310 	250880 	188910 	78030 	48960 
A,TOTAL,TOTAL,A5000,HLD,IE	9950 	8330 	8520 	8080 	9040 	5570 	: 
A,TOTAL,TOTAL,A5000,HLD,IS	: 	: 	380 	: 	: 	180 	: 
A,TOTAL,TOTAL,A5000,HLD,IT	74640 	75450 	23950 	14850 	15430 	57090 	: 
A,TOTAL,TOTAL,A5000,HLD,LT	172510 	130330 	84250 	74510 	50420 	47630 	36800 i
A,TOTAL,TOTAL,A5000,HLD,LU	620 	460 	440 	400 	400 	390 	370 
A,TOTAL,TOTAL,A5000,HLD,LV	60410 	47200 	28290 	21870 	27490 	10120 	: 
A,TOTAL,TOTAL,A5000,HLD,ME	: 	: 	16310 	: 	: 	: 	: 
A,TOTAL,TOTAL,A5000,HLD,MK	: 	: 	: 	63220 	: 	: 	: 
A,TOTAL,TOTAL,A5000,HLD,MT	1100 	1230 	860 	990 	700 	560 	140 
A,TOTAL,TOTAL,A5000,HLD,NL	3060 	2870 	2570 	2190 	2050 	1850 	1750 
A,TOTAL,TOTAL,A5000,HLD,NO	3100 	2460 	2370 	2630 	2820 	1950 	: 
A,TOTAL,TOTAL,A5000,HLD,PL	1319520 	1284590 	680790 	575270 	506680 	360620 	: 
A,TOTAL,TOTAL,A5000,HLD,PT	193250 	160440 	161090 	132650 	131080 	100490 	107910 
A,TOTAL,TOTAL,A5000,HLD,RO	3296010 	3228920 	2680020 	2623310 	2445560 	1642370 	1823480 
A,TOTAL,TOTAL,A5000,HLD,RS	: 	: 	413790 	: 	: 	: 	: 
A,TOTAL,TOTAL,A5000,HLD,SE	5310 	4500 	3900 	4340 	3060 	2650 	4390 
A,TOTAL,TOTAL,A5000,HLD,SI	45510 	39790 	36240 	36660 	37840 	27120 	: 
A,TOTAL,TOTAL,A5000,HLD,SK	43590 	42160 	10430 	7760 	7390 	3510 	3010 
A,TOTAL,TOTAL,A5000,HLD,UK	42450 	31080 	28910 	30290 	27620 	: 	: 
A,TOTAL,TOTAL,A6111,HLD,AT	0 	0 	0 	0 	: 	0 	0 
A,TOTAL,TOTAL,A6111,HLD,BE	700 	610 	560 	: 	: 	0 	: 
A,TOTAL,TOTAL,A6111,HLD,BG	33810 	23570 	23700 	12300 	6180 	2710 	2040 i
A,TOTAL,TOTAL,A6111,HLD,CH	4470 	3920 	3280 	: 	720 	670 	: 
A,TOTAL,TOTAL,A6111,HLD,CY	4480 	4260 	3980 	4160 	3650 	2280 	1700 
A,TOTAL,TOTAL,A6111,HLD,CZ	5080 	5040 	950 	1870 	1970 	730 	780 
A,TOTAL,TOTAL,A6111,HLD,DE	: 	: 	: 	: 	: 	0 	0 
A,TOTAL,TOTAL,A6111,HLD,DK	0 	0 	210 	250 	80 	90 	: 
A,TOTAL,TOTAL,A6111,HLD,EE	1560 	930 	550 	500 	240 	70 	50 
A,TOTAL,TOTAL,A6111,HLD,EL	44800 	41130 	27960 	21300 	21150 	8780 	8640 
A,TOTAL,TOTAL,A6111,HLD,ES	45000 	44470 	24950 	18490 	15320 	2820 	2400 i
A,TOTAL,TOTAL,A6111,HLD,EU27_2020	: 	544300 	373110 	278920 	236550 	131600 	: 
A,TOTAL,TOTAL,A6111,HLD,FI	0 	0 	0 	: 	: 	0 	: 
