A,T,FLF_D_RNFAM,PER,ES	368200 	345490 	351200 	555660 i	625640 i
A,T,FLF_D_RNFAM,PER,EU27_2020	2264740 	1890670 	2058960 	2417810 i	: 
A,T,FLF_D_RNFAM,PER,FI	21770 	18980 	20680 	21750 	: 
A,T,FLF_D_RNFAM,PER,FR	598700 	416030 	403750 	426350 	418640 
A,T,FLF_D_RNFAM,PER,HR	16540 	13460 	17890 	25910 	21310 
A,T,FLF_D_RNFAM,PER,HU	94230 	92260 	111460 	97610 	95520 
A,T,FLF_D_RNFAM,PER,IE	17420 	17240 	18530 	34110 	: 
A,T,FLF_D_RNFAM,PER,IS	2280 	: 	: 	950 	: 
A,T,FLF_D_RNFAM,PER,IT	181230 	146370 	231730 	349270 	: 
A,T,FLF_D_RNFAM,PER,LT	28700 	33880 	33760 	33520 i	26980 i
A,T,FLF_D_RNFAM,PER,LU	1020 	1160 	1170 	1150 	1140 
A,T,FLF_D_RNFAM,PER,LV	19240 	20310 	21380 	21610 	: 
A,T,FLF_D_RNFAM,PER,ME	800 	: 	: 	: 	: 
A,T,FLF_D_RNFAM,PER,MK	: 	3680 	: 	: 	: 
A,T,FLF_D_RNFAM,PER,MT	1150 	560 	710 	420 	510 
A,T,FLF_D_RNFAM,PER,NL	67950 	59820 	54340 	62460 	76060 
A,T,FLF_D_RNFAM,PER,NO	21390 	17960 	15640 	12850 	: 
A,T,FLF_D_RNFAM,PER,PL	94150 	78460 	122480 	116840 	: 
A,T,FLF_D_RNFAM,PER,PT	58590 	60560 	76250 	73200 	83140 
A,T,FLF_D_RNFAM,PER,RO	136740 	89800 	80960 	84990 	117480 
A,T,FLF_D_RNFAM,PER,RS	31100 	: 	: 	: 	: 
A,T,FLF_D_RNFAM,PER,SE	27530 	21970 	22150 	21600 	23820 
A,T,FLF_D_RNFAM,PER,SI	3480 	2630 	2870 	2750 i	: 
A,T,FLF_D_RNFAM,PER,SK	47190 	40920 	38880 	37350 	33450 
A,T,FLF_D_RNFAM,PER,UK	117990 	110140 	99540 	: 	: 
A,T,FLF_MANXGRP,PER,AT	145460 	136010 	124160 	108250 	99380 
A,T,FLF_MANXGRP,PER,BE	42850 	37760 	36890 	36000 	: 
A,T,FLF_MANXGRP,PER,BG	370490 	254370 	200980 	132710 	107620 i
A,T,FLF_MANXGRP,PER,CH	58260 	: 	51210 	: 	: 
A,T,FLF_MANXGRP,PER,CY	38860 	35380 	34950 	34050 	32020 
A,T,FLF_MANXGRP,PER,CZ	22860 	26250 	26530 	28910 	33170 
A,T,FLF_MANXGRP,PER,DE	278090 	261320 	250120 	235140 	224090 
A,T,FLF_MANXGRP,PER,DK	41360 	38280 	35050 	36690 	: 
A,T,FLF_MANXGRP,PER,EE	19610 	19190 	16700 	11370 	10710 
A,T,FLF_MANXGRP,PER,EL	723060 	709500 	684900 	530680 	485950 
A,T,FLF_MANXGRP,PER,ES	989800 	965000 	941650 	913420 i	798770 i
A,T,FLF_MANXGRP,PER,EU27_2020	11984040 	10577460 	10189280 	8977280 i	: 
A,T,FLF_MANXGRP,PER,FI	58680 	49750 	44940 	41480 	: 
A,T,FLF_MANXGRP,PER,FR	477530 	433290 	411720 	349410 	318990 
A,T,FLF_MANXGRP,PER,HR	233280 	157430 	134440 	143920 	146820 
A,T,FLF_MANXGRP,PER,HU	571660 	486760 	430000 	232090 	189180 
A,T,FLF_MANXGRP,PER,IE	139860 	139600 	137560 	121810 	: 
A,T,FLF_MANXGRP,PER,IS	2540 	: 	: 	2090 	: 
A,T,FLF_MANXGRP,PER,IT	1620880 	1010330 	1145710 	1130530 	: 
A,T,FLF_MANXGRP,PER,LT	199880 	171790 	150270 	132060 i	119600 i
A,T,FLF_MANXGRP,PER,LU	2110 	1970 	1900 	1840 	1810 
A,T,FLF_MANXGRP,PER,LV	81940 	80580 	69180 	68820 	: 
A,T,FLF_MANXGRP,PER,ME	48870 	: 	: 	: 	: 
A,T,FLF_MANXGRP,PER,MK	: 	170880 	: 	: 	: 
A,T,FLF_MANXGRP,PER,MT	12310 	9260 	9230 	7650 	7980 
A,T,FLF_MANXGRP,PER,NL	72320 	67480 	55680 	52640 	50560 
A,T,FLF_MANXGRP,PER,NO	44220 	41470 	39410 	37400 	: 
A,T,FLF_MANXGRP,PER,PL	1506620 	1429010 	1410660 	1301490 	: 
A,T,FLF_MANXGRP,PER,PT	305270 	264420 	258350 	290230 	261500 
A,T,FLF_MANXGRP,PER,RO	3859040 	3629660 	3419230 	2887070 	2859360 
A,T,FLF_MANXGRP,PER,RS	631550 	: 	: 	: 	: 
A,T,FLF_MANXGRP,PER,SE	71090 	67150 	62940 	58790 	56170 
A,T,FLF_MANXGRP,PER,SI	74650 	72380 	69900 	70610 i	: 
A,T,FLF_MANXGRP,PER,SK	24460 	23570 	25660 	19630 	17520 
A,T,FLF_MANXGRP,PER,UK	186420 	183040 	183810 	: 	: 
A,T,TOTAL,PER,AT	370120 	337580 	318840 	287030 	281970 
A,T,TOTAL,PER,BE	85310 	74830 	70910 	67940 	: 
A,T,TOTAL,PER,BG	744490 	557670 	439740 	290720 	254910 i
A,T,TOTAL,PER,CH	174890 	: 	148900 	: 	: 
A,T,TOTAL,PER,CY	85940 	77380 	72910 	72350 	67320 
A,T,TOTAL,PER,CZ	135960 	132130 	130290 	124440 	127910 
A,T,TOTAL,PER,DE	781710 	706260 	653760 	648390 	617250 
A,T,TOTAL,PER,DK	80760 	79580 	73320 	80240 	: 
A,T,TOTAL,PER,EE	55000 	44220 	38380 	30600 	26890 
A,T,TOTAL,PER,EL	1277970 	1238490 	1198390 	1380870 	1225320 
A,T,TOTAL,PER,ES	2435310 	1782690 	1866210 	1729350 i	1676310 i
A,T,TOTAL,PER,EU27_2020	25861920 	21763920 	20046110 	17332680 i	: 
A,T,TOTAL,PER,FI	137300 	120020 	111860 	102270 	: 
A,T,TOTAL,PER,FR	1167040 	907080 	859750 	762160 	715900 
A,T,TOTAL,PER,HR	528910 	388370 	318060 	331610 	295650 
A,T,TOTAL,PER,HU	1145490 	1049840 	814420 	476290 	377250 
A,T,TOTAL,PER,IE	282940 	269510 	265180 	274960 	: 
A,T,TOTAL,PER,IS	6320 	: 	: 	2810 	: 
A,T,TOTAL,PER,IT	3472460 	2139060 	2045410 	1836570 	: 
A,T,TOTAL,PER,LT	372410 	297950 	255570 	240800 i	211480 i
A,T,TOTAL,PER,LU	5290 	4950 	4780 	4670 	4700 
A,T,TOTAL,PER,LV	184910 	173920 	162630 	155070 	: 
A,T,TOTAL,PER,ME	99010 	: 	: 	: 	: 
A,T,TOTAL,PER,MK	: 	443520 	: 	: 	: 
