A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,CZ	6.78 	6.31 	4.15 	3.32 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,DE	117.64 	103.46 	73.05 	55.45 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,DK	12.02 	9.40 	7.38 	5.25 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,EE	4.56 	3.25 	2.84 	2.40 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,EL	126.51 	128.46 	110.57 	100.13 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,ES	150.98 	132.00 	121.40 	92.12 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,FI	17.03 	15.27 	12.40 	10.07 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,FR	106.06 	91.39 	78.72 	62.93 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,HR	: 	18.73 	25.16 	15.51 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,HU	104.08 	89.96 	81.97 	71.06 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,IE	25.04 	22.68 	24.56 	22.84 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,IS	: 	: 	0.31 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,IT	182.34 	170.68 	197.04 	105.97 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,LT	47.52 	38.03 	31.32 	23.39 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,LU	0.56 	0.48 	0.41 	0.33 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,LV	24.53 	19.40 	14.15 	11.84 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,ME	: 	: 	5.99 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,MT	1.48 	1.08 	1.45 	1.19 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,NL	19.39 	16.88 	13.41 	9.86 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,NO	13.46 	12.23 	11.16 	9.08 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,PL	549.21 	512.06 	369.60 	340.27 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,PT	27.22 	20.39 	22.96 	16.17 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,RO	498.89 	455.04 	595.57 	490.79 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,SE	12.44 	11.50 	9.45 	7.58 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,SI	11.04 	9.77 	9.67 	8.79 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,SK	8.98 	7.81 	3.17 	3.02 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y35-44,UK	37.74 	27.41 	20.27 	17.51 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,AT	50.94 	53.06 	51.87 	49.41 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,BE	12.48 	12.56 	12.35 	10.75 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,BG	94.56 	84.78 	66.45 	44.75 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,CH	: 	: 	18.55 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,CY	12.58 	10.63 	9.68 	7.60 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,CZ	10.97 	9.63 	5.05 	5.40 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,DE	124.12 	123.83 	107.45 	104.34 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,DK	13.68 	12.19 	12.24 	11.02 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,EE	5.87 	4.87 	4.19 	3.84 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,EL	171.32 	179.40 	157.10 	161.87 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,ES	209.34 	206.30 	198.96 	190.29 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,FI	22.43 	21.49 	19.80 	16.54 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,FR	137.69 	127.47 	122.33 	108.57 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,HR	: 	39.83 	54.49 	34.28 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,HU	182.43 	142.35 	118.92 	93.12 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,IE	32.97 	31.37 	34.61 	34.76 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,IS	: 	: 	0.67 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,IT	315.22 	312.84 	326.36 	208.17 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,LT	54.69 	47.38 	46.96 	43.35 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,LU	0.79 	0.77 	0.69 	0.65 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,LV	29.10 	26.74 	22.23 	21.47 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,ME	: 	: 	11.68 	: 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,MT	3.29 	3.13 	3.17 	2.29 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,NL	20.87 	20.70 	21.21 	20.37 
A,TOTAL,HOLD_HOLD,THS,TOTAL,Y45-54,NO	16.58 	15.70 	14.44 	13.49 
